cas_number,chemical_name,formula,ip_ev,pel_ppm,rel,tlv_ppm,stel_ppm,idlh_ppm,aegl_1,aegl_2,aegl_3,conversion,notes,include
64-19-7,Acetic Acid,,10.66,10 ppm (25 mg/m³),10 ppm (ST) 15 ppm,10 ppm (ST) 15 ppm,5,50 ppm,5 ppm (ERPG-1),35 ppm 86 mg/m³ (ERPG-2),250 ppm 610 mg/m³ (ERPG-3),1 ppm = 2.46 mg/m³,Common in oil/gas and wastewater,
67-64-1,Acetone,,9.71,1000 ppm,250 ppm,250 ppm (ST) 500 ppm,,2500 ppm,200 ppm (AEGL-1),3200(1) ppm (AEGL-2),5700(1) ppm (AEGL-3),1 ppm = 2.38 mg/m³,Product of incomplete combustion,
74-86-2,Acetylene,,11.4,NA,(C) 2500 ppm,NA (simple asphyxiant),0.25,"2,500 ppm","65,000(3) ppm (simple asphyxiant)","230,000(3) ppm (simple asphyxiant)","400,000(3) ppm (simple asphyxiant)",1 ppm = 1.06 mg/m³,,
107-13-1,Acrylonitrile,,10.16,(ST) 2 ppm (C) 10 ppm (skin),(Ca)(ST) 1 ppm (C) 10 ppm (skin),(Ca) 2 ppm (skin),2.5,(Ca)60 ppm,0.15 ppm (AEGL-2/11),1.7 ppm (AEGL-2),28 ppm (AEGL-3),1 ppm = 2.17 mg/m³,"Known carcinogen, common VOC",
7664-41-7,Ammonia,,10.16,50 ppm,25 ppm (ST) 35 ppm,25 ppm (ST) 35 ppm,125,300 ppm,30 ppm (AEGL-1),160 ppm (AEGL-2),"1,100 ppm (AEGL-3)",1 ppm = 0.7 mg/m³,,
7773-06-0,Ammonium Sulfamate,,NA,15 mg/m³ (total) 5 mg/m³ (resp),10 mg/m³ (total) 5 mg/m³ (resp),10 mg/m³,,"1,500 mg/m³",30 mg/m³ (TEEL-2/11),98 mg/m³ (rat oral TDLo),"5,000 mg/m³ (IDLH 1990)",NA,,
7440-38-2,Arsenic (inorganic compounds),,NA,0.01 mg/m³,Ca (C) 0.002 mg/m³ (15-min ceiling),0.01 mg/m³,,Ca 5 mg/m³,1.5 mg/m³ (TEEL-2/11),17 mg/m³ (TEEL-3/6),100 mg/m³ (IDLH 1990),NA,,
7440-38-2,Arsenic (organic compounds),,NA,0.5 mg/m³,NA,NA,,NA,NA,NA,NA,NA,,
7784-42-1,Arsine,,NA,0.05 ppm,0.002 mg/m³ (15- min ceiling),0.005 ppm,,3 ppm,0.015 ppm (AEGL-2/11),0.17 ppm (AEGL-2),0.50 ppm (AEGL-3),1 ppm = 3.19 mg/m³,,
1332-21-4,Asbestos,,NA,"Ca 0.1 fiber/cm³ (fibers longer that 5 µm) (ST) 1 fiber/cm³, 30 minutes",Ca 0.1 fiber/cm³ (fibers longer that 5 µm),Ca 0.1 fiber/cm³ (fibers longer that 5 µm),,Ca ND,0.05 mg/m³ (PEL-STEL),0.55 mg/m³ (TEEL-1 x 11),3.3 mg/m³ (TEEL-2 x 3),NA,,
71-43-2,Benzene,,9.25,1 ppm (ST) 5 ppm,Ca 0.1 ppm (ST) 1 ppm,0.5 ppm (ST) 2.5 ppm,,500 ppm,52 ppm 170 mg/m³ (AEGL-1),800 ppm 2600 mg/m³ (AEGL-2),"4,000(1) ppm 12,000 mg/m³ (AEGL-3)",1 ppm = 3.19 mg/m³,,
106-99-0,"1,3-Butadiene",,9.07,1 ppm (ST) 5 ppm,None established; Carcinogen: reduce exposure to lowest feasible concentration (LOQ 0.19 ppm),10 ppm,,"2,000 ppm (based on 10% of lower explosive limit)",670 ppm (AEGL-1),5300(1) ppm (AEGL-2),22000(3) ppm (AEGL-3),1 ppm = 2.21 mg/m³,,
