sensor_id,cas_number,relationship_type,correction_factor,detection_range_low,detection_range_high,range_unit,notes,include
RAE-LEL-1,67-64-1,primary,2.2,0,100,%LEL,,
RAE-LEL-1,7664-41-7,primary,0.8,0,100,%LEL,,
RAE-LEL-1,71-43-2,primary,2.8,0,100,%LEL,,
RAE-LEL-1,630-08-0,primary,1.2,0,100,%LEL,,
RAE-LEL-1,110-82-7,primary,2.5,0,100,%LEL,,
RAE-LEL-1,64-17-5,primary,1.7,0,100,%LEL,,
RAE-LEL-1,141-78-6,primary,2.2,0,100,%LEL,,
RAE-LEL-1,1333-74-0,primary,2.3,0,100,%LEL,,
RAE-LEL-1,115-11-7,primary,1.5,0,100,%LEL,,
RAE-LEL-1,67-63-0,primary,2.6,0,100,%LEL,,
RAE-LEL-1,LOCAL-Leaded-Gasoline,primary,2.8,0,100,%LEL,,
RAE-LEL-1,74-82-8,primary,1,0,100,%LEL,,
RAE-LEL-1,67-56-1,primary,2,0,100,%LEL,,
RAE-LEL-1,78-93-3,primary,2.6,0,100,%LEL,,
RAE-LEL-1,106-97-8,primary,1.6,0,100,%LEL,,
RAE-LEL-1,142-82-5,primary,3.5,0,100,%LEL,,
RAE-LEL-1,110-54-3,primary,3.3,0,100,%LEL,,
RAE-LEL-1,111-65-9,primary,3.8,0,100,%LEL,,
RAE-LEL-1,109-66-0,primary,2.2,0,100,%LEL,,
RAE-LEL-1,7803-51-2,primary,0.26,0,100,%LEL,,
RAE-LEL-1,74-98-6,primary,1.6,0,100,%LEL,,
RAE-LEL-1,115-07-1,primary,1.5,0,100,%LEL,,
RAE-LEL-1,108-88-3,primary,3.5,0,100,%LEL,,
RAE-LEL-1,8006-64-2,primary,2.9,0,100,%LEL,,
RAE-LEL-2,67-64-1,primary,2.2,0,100,%LEL,,
RAE-LEL-2,7664-41-7,primary,0.8,0,100,%LEL,,
RAE-LEL-2,71-43-2,primary,2.5,0,100,%LEL,,
RAE-LEL-2,630-08-0,primary,1.2,0,100,%LEL,,
RAE-LEL-2,110-82-7,primary,2.5,0,100,%LEL,,
RAE-LEL-2,64-17-5,primary,1.7,0,100,%LEL,,
RAE-LEL-2,141-78-6,primary,2.2,0,100,%LEL,,
RAE-LEL-2,1333-74-0,primary,1.2,0,100,%LEL,,
RAE-LEL-2,115-11-7,primary,1.5,0,100,%LEL,,
RAE-LEL-2,67-63-0,primary,2.6,0,100,%LEL,,
RAE-LEL-2,LOCAL-Leaded-Gasoline,primary,2.4,0,100,%LEL,,
RAE-LEL-2,74-82-8,primary,1,0,100,%LEL,,
RAE-LEL-2,67-56-1,primary,1.5,0,100,%LEL,,
RAE-LEL-2,78-93-3,primary,2.6,0,100,%LEL,,
RAE-LEL-2,106-97-8,primary,1.6,0,100,%LEL,,
RAE-LEL-2,142-82-5,primary,2.7,0,100,%LEL,,
RAE-LEL-2,110-54-3,primary,2.5,0,100,%LEL,,
RAE-LEL-2,111-65-9,primary,2.9,0,100,%LEL,,
RAE-LEL-2,109-66-0,primary,2,0,100,%LEL,,
RAE-LEL-2,7803-51-2,primary,0.26,0,100,%LEL,,
RAE-LEL-2,74-98-6,primary,1.6,0,100,%LEL,,
RAE-LEL-2,115-07-1,primary,1.7,0,100,%LEL,,
RAE-LEL-2,108-88-3,primary,3,0,100,%LEL,,
RAE-LEL-2,8006-64-2,primary,2.9,0,100,%LEL,,
RAE-O2-1,7782-44-7,primary,,0,30,%vol,,
RAE-O2-4REC,7782-44-7,primary,,0,30,%vol,,
RAE-NH3-1,7664-41-7,primary,,0,100,ppm,,
RAE-CO-1,630-08-0,primary,,0,500,,,
RAE-CO-ER,630-08-0,primary,,0,2000,ppm,,
RAE-CL2-1,7782-50-5,primary,,0,50,ppm,,
RAE-COSH-CO,630-08-0,primary,,0,500,ppm,,
RAE-COSH-H2S,7783-06-4,primary,,0,200,ppm,,
RAE-HCN-1,74-90-8,primary,,0,50,ppm,,
RAE-H2S-1,7783-06-4,primary,,0,100,ppm,,
RAE-H2S-ER,7783-06-4,primary,,0,500,ppm,,
RAE-NO2-1,10102-44-0,primary,,0,20,ppm,,
RAE-NO-1,10024-97-2,primary,,0,250,ppm,,
RAE-PH3-1,7803-51-2,primary,,0,5,ppm,,
RAE-PH3-2,7803-51-2,primary,,0,20,ppm,,
RAE-PH3H-3,7803-51-2,primary,,0,20,,"PH3H, not PH3",
RAE-SO2-1,7446-09-5,primary,,0,20,ppm,,
RAE-COCL2-1,7646-79-9,primary,,NA,NA,ppm,,
SPM-HYDRIDES-1,7784-42-1,primary,,0.5,500,ppb,,
SPM-HYDRIDES-1,7803-51-2,primary,,3,3000,ppb,,
SPM-HYDRIDES-1,19287-45-7,primary,,5,1000,ppb,,
SPM-HYDRIDES-1,7803-62-5,primary,,0.03,50,ppm,,
SPM-HYDRIDES-1,7782-65-2,primary,,50,2000,ppb,,
SPM-HYDRIDES-1,7783-07-5,primary,,2,500,ppb,,
SPM-HYDRIDES-1,7783-06-4,primary,,0.001,9.999,ppm,,
SPM-MINERAL-1,7664-39-3,primary,,0.02,20,ppm,,
SPM-MINERAL-1,7647-01-0,primary,,0.02,20,ppm,,
SPM-MINERAL-1,10035-10-6,primary,,0.02,10,ppm,,
SPM-MINERAL-1,7637-07-2,primary,,0.05,10,ppm,,
SPM-MINERAL-1,7697-37-2,primary,,0.02,20,ppm,,
SPM-MINERAL-1,7664-93-9,primary,,5,750,ppb,,
SPM-MINERAL-1,10034-85-2,primary,,0.2,10,ppm,,
SPM-MINERAL-EU,7664-39-3,primary,,0.4,20,ppm,,
SPM-MINERAL-EU,7647-01-0,primary,,0.02,20,ppm,,
SPM-MINERAL-EU,10035-10-6,primary,,0.02,10,ppm,,
SPM-MINERAL-EU,7637-07-2,primary,,0.05,10,ppm,,
SPM-MINERAL-EU,7697-37-2,primary,,0.02,20,ppm,,
SPM-MINERAL-EU,7664-93-9,primary,,5,750,ppb,,
SPM-MINERAL-EU,10034-85-2,primary,,0.2,10,ppm,,
SPM-OXI-1,7782-41-4,primary,,0.01,10,ppm,,
SPM-OXI-1,7782-50-5,primary,,0.01,5,ppm,,
SPM-OXI-1,10102-44-0,primary,,0.03,10,ppm,,
SPM-OXI-1,7782-50-5,primary,,0.01,5,ppm,,
SPM-OXI-1,10049-04-4,primary,,20,1000,ppb,,
SPM-CL-1,7782-50-5,primary,,0.005,5,ppm,,
SPM-AMMINES-1,7664-41-7,primary,,0.01,150,ppm,,
SPM-PHOSGENE-1,75-44-5,primary,,2,2000,ppb,,
SPM-HYDRAZINES-1,302-01-2,primary,,3,1000,ppb,,
SPM-HCN-1,74-90-8,primary,,0.2,30,ppm,,
SPM-SO2-1,7446-09-5,primary,,10,2500,ppb,,
SPM-O3-1,10028-15-6,primary,,20,1000,ppb,,
SPM-H2O2-1,7722-84-1,primary,,0.1,3,ppm,,
DRAG-CATEX-125,74-82-8,primary,,0,100,%LEL,,
DRAG-CATEX-125,67-64-1,primary,,0,100,%LEL,,
DRAG-CATEX-125,64-19-7,primary,,0,100,%LEL,,
DRAG-CATEX-125,74-86-2,primary,,0,100,%LEL,,
DRAG-CATEX-125,7664-41-7,primary,,0,100,%LEL,,
DRAG-CATEX-125,71-43-2,primary,,0,100,%LEL,,
DRAG-CATEX-125,106-99-0,primary,,0,100,%LEL,,
DRAG-CATEX-125,106-97-8,primary,,0,100,%LEL,,
DRAG-CATEX-125,630-08-0,primary,,0,100,%LEL,,
DRAG-CATEX-125,110-82-7,primary,,0,100,%LEL,,
DRAG-CATEX-125,60-29-7,primary,,0,100,%LEL,,
DRAG-CATEX-125,64-17-5,primary,,0,100,%LEL,,
DRAG-CATEX-125,141-78-6,primary,,0,100,%LEL,,
DRAG-CATEX-125,142-82-5,primary,,0,100,%LEL,,
DRAG-CATEX-125,110-54-3,primary,,0,100,%LEL,,
DRAG-CATEX-125,1333-74-0,primary,,0,100,%LEL,,
DRAG-CATEX-125,8006-61-9,primary,,0,100,%LEL,,
DRAG-CATEX-125,67-56-1,primary,,0,100,%LEL,,
DRAG-CATEX-125,111-65-9,primary,,0,100,%LEL,,
DRAG-CATEX-125,109-66-0,primary,,0,100,%LEL,,
DRAG-CATEX-125,74-98-6,primary,,0,100,%LEL,,
DRAG-CATEX-125,115-07-1,primary,,0,100,%LEL,,
DRAG-CATEX-125,100-42-5,primary,,0,100,%LEL,,
DRAG-CATEX-125,108-88-3,primary,,0,100,%LEL,,
DRAG-CATEX-125,95-47-6,primary,,0,100,%LEL,,
DRAG-XXS-CL,7782-50-5,primary,,0,20,ppm,,
DRAG-XXS-CL,7782-41-4,primary,,0,20,ppm,,
DRAG-XXS-CL,7726-95-6,primary,,0,20,ppm,,
DRAG-XXS-CL,10049-04-4,primary,,0,20,ppm,,
DRAG-XXS-CO,630-08-0,primary,,0,2000,ppm,,
DRAG-XXS-ECO,630-08-0,primary,,0,2000,ppm,,
DRAGER-XXS-COLC,630-08-0,primary,,0,2000,ppm,,
DRAGER-XXS-COHC,630-08-0,primary,,0,10000,ppm,,
DRAGER-XXS-COH2CP,630-08-0,primary,,0,2000,ppm,,
DRAGER-XXS-CO2,124-38-9,primary,,0,5,%vol,,
DRAGER-XXS-COCl2,7646-79-9,primary,,0,10,ppm,,
DRAGER-XXS-H2,1333-74-0,primary,,0,2000,ppm,,
DRAGER-XXS-H2HC,1333-74-0,primary,,0,4,%vol,,
DRAGER-XXS-HCN,74-90-8,primary,,0,50,ppm,,
DRAGER-XXS-H2S,7783-06-4,primary,,0,200,ppm,,
DRAGER-XXS-EH2S,7783-06-4,primary,,0,200,ppm,,
DRAGER-XXS-H2SHC,7783-06-4,primary,,0,1000,ppm,,
DRAGER-XXS-H2SLC,7783-06-4,primary,,0,100,ppm,,
DRAGER-XXS-H2SCO-H2S,7783-06-4,primary,,0,200,ppm,,
DRAGER-XXS-H2SCO-CO,630-08-0,primary,,0,2000,ppm,,
DRAGER-XXS-H2SCOLC-H2S,7783-06-4,primary,,0,100,ppm,,
DRAGER-XXS-H2SCOLC-CO,630-08-0,primary,,0,2000,ppm,,
DRAGER-XXS-NH3,7664-41-7,primary,,0,300,ppm,,
DRAGER-XXS-NO,10102-44-0,primary,,0,200,ppm,,
DRAGER-XXS-NO2,10102-44-0,primary,,0,50,ppm,,
DRAGER-XXS-NO2LC,10102-44-0,primary,,0,50,ppm,,
DRAGER-XXS-OV,60-29-7,primary,,0,200,ppm,,
DRAGER-XXS-OV,115-07-1,detectable,0.65,0,100,ppm,correction factor is relative sensitivity compared to Ethyl Oxide,
DRAGER-XXS-OV,75-01-4,detectable,0.6,0,100,ppm,correction factor is relative sensitivity compared to Ethyl Oxide,
DRAGER-XXS-OV,67-56-1,detectable,0.5,0,800,ppm,correction factor is relative sensitivity compared to Ethyl Oxide,
DRAGER-XXS-OV,106-99-0,detectable,1.4,0,100,ppm,correction factor is relative sensitivity compared to Ethyl Oxide,
DRAGER-XXS-OV,50-00-0,detectable,0.8,0,100,ppm,correction factor is relative sensitivity compared to Ethyl Oxide,
DRAGER-XXS-OV,67-63-0,detectable,0.35,0,300,ppm,correction factor is relative sensitivity compared to Ethyl Oxide,
DRAGER-XXS-OV,100-42-5,detectable,0.7,0,100,ppm,correction factor is relative sensitivity compared to Ethyl Oxide,
DRAGER-XXS-OVA,75-21-8,primary,,0,200,ppm,,
DRAGER-XXS-OVA,107-13-1,detectable,0.15,0,100,ppm,,
DRAGER-XXS-OVA,115-11-7,detectable,0.9,0,300,ppm,,
DRAGER-XXS-OVA,64-17-5,detectable,0.55,0,300,ppm,,
DRAGER-XXS-OVA,60-29-7,detectable,0.75,0,200,ppm,,
DRAGER-XXS-OVA,74-86-2,detectable,1.4,0,100,ppm,,
DRAGER-XXS-O2,7782-44-7,primary,,0,25,%vol,,
DRAGER-XXS-EO2,7782-44-7,primary,,0,25,%vol,,
DRAGER-XXS-O2PR,7782-44-7,primary,,0,30,%vol,,
DRAGER-XXS-O2COLC-O2,7782-44-7,primary,,0,25,%vol,,
DRAGER-XXS-O2COLC-CO,630-08-0,primary,,0,2000,ppm,,
DRAGER-XXS-O2H2SLC-O2,7782-44-7,primary,,0,25,%vol,,
DRAGER-XXS-O2H2SLC-H2S,7783-06-4,primary,,0,100,ppm,,
DRAGER-XXS-O2100,7782-44-7,primary,,0,100,%vol,,
DRAGER-XXS-O3,10028-15-6,primary,,0,10,ppm,,
DRAGER-XXS-PH3,7803-51-2,primary,,0,20,ppm,,
DRAGER-XXS-PH3,7784-42-1,detectable,1,0,20,ppm,,
DRAGER-XXS-PH3,19287-45-7,detectable,0.25,0,20,ppm,Relative sensitivity as compared to Phosphine,
