sensor_id,cas_number,response_type,factor,test_concentration,test_conc_unit,response_reading,observed_rdg_unit,filtered_resp_reading,filtered_rdg_unit,direction,source,notes
RAE-O2-1,124-38-9,concentration_response,,2,%vol,0,%vol,,,,TN-114,Double check
RAE-O2-1,1333-74-0,concentration_response,,1,%vol,-2,%vol,,,,TN-114,Double check
RAE-O2-4REC,124-38-9,concentration_response,,2,%vol,0,%vol,,,,TN-114,
RAE-O2-4REC,1333-74-0,concentration_response,,1,%vol,-2,%vol,,,,TN-114,
RAE-NH3-1,LOCAL-Alcohols,concentration_response,,1000,ppm,0,ppm,,,,,
RAE-NH3-1,630-08-0,concentration_response,,100,ppm,0,ppm,,,,,
RAE-NH3-1,124-38-9,concentration_response,,5000,ppm,0,ppm,,,,,- At higher carbon dioxide concentration (approx. > 5%) there can be a negative reading
RAE-NH3-1,1333-74-0,concentration_response,,10000,ppm,0,ppm,,,,,
RAE-NH3-1,7783-06-4,concentration_response,,20,ppm,About 2,ppm,,,,,Short exposures of less than few minutes
RAE-NH3-1,LOCAL-Hydrocarbons,concentration_response,,% range,,0,ppm,,,,,
RAE-CO-1,74-86-2,conc_response_filter,,250,ppm,250,ppm,NT,,,,
RAE-CO-1,106-97-8,conc_response_filter,,100,ppm,1,ppm,1,,,,
RAE-CO-1,7782-50-5,conc_response_filter,,10,ppm,0-1,ppm,NT,,,,
RAE-CO-1,64-17-5,conc_response_filter,,200,ppm,0,ppm,0,,,,
RAE-CO-1,74-85-1,conc_response_filter,,100,ppm,16,ppm,NT,,,,
RAE-CO-1,75-21-8,conc_response_filter,,125,ppm,>40,ppm,NT,,,,
RAE-CO-1,1333-74-0,conc_response_filter,,100,ppm,40,ppm,40,,,,
RAE-CO-1,7783-06-4,conc_response_filter,,10,ppm,0,ppm,0,,,,
RAE-CO-1,7647-01-0,conc_response_filter,,10,ppm,0,ppm,0,,,,
RAE-CO-1,110-54-3,conc_response_filter,,500,ppm,0,ppm,0,,,,
RAE-CO-1,115-11-7,conc_response_filter,,100,ppm,9,ppm,4,,,,
RAE-CO-1,115-11-7,conc_response_filter,,1000,ppm,30,ppm,22,,,,
RAE-CO-1,78-93-3,conc_response_filter,,100,ppm,0,ppm,0,,,,
RAE-CO-1,7664-41-7,conc_response_filter,,100,ppm,0,ppm,0,,,,
RAE-CO-1,7727-37-9,conc_response_filter,,100,%vol,0-4,ppm,NT,,,,
RAE-CO-1,10024-97-2,conc_response_filter,,35,ppm,0,ppm,0,,,,
RAE-CO-1,10102-44-0,conc_response_filter,,5,ppm,0,ppm,0,,,,
RAE-CO-1,74-98-6,conc_response_filter,,100,ppm,0,ppm,0,,,,
RAE-CO-1,7446-09-5,conc_response_filter,,5,ppm,0,ppm,0,,,,
RAE-CO-1,79-01-6,conc_response_filter,,100,ppm,25,ppm,15,,,,
DRAGER-XXS-NH3,7782-50-5,concentration_response,,10,ppm,-30,ppm,,,,,Gases with negative sensitivity may displace a positive display of NH3. A check should be carried out to see if mixtures of gases are present
DRAGER-XXS-NH3,7647-01-0,concentration_response,,20,ppm,-15,,,,,,
DRAGER-XXS-NH3,64-17-5,concentration_response,,200,ppm,2,,,,,,
DRAGER-XXS-NH3,124-38-9,concentration_response,,10,%vol,No effect,,,,,,
DRAGER-XXS-NH3,630-08-0,concentration_response,,1000,ppm,No effect,,,,,,
DRAGER-XXS-NH3,74-82-8,concentration_response,,0.9,%vol,No effect,,,,,,
DRAGER-XXS-NH3,67-56-1,concentration_response,,250,ppm,40,,,,,,
DRAGER-XXS-NH3,10028-15-6,concentration_response,,0.5,ppm,No effect,,,,,,
DRAGER-XXS-NH3,7803-51-2,concentration_response,,1,ppm,2,,,,,,
DRAGER-XXS-NH3,7446-09-5,concentration_response,,20,ppm,-10,,,,,,
DRAGER-XXS-NH3,7783-06-4,concentration_response,,20,ppm,70,,,,,,
DRAGER-XXS-NH3,10102-44-0,concentration_response,,20,ppm,25,,,,,,
DRAGER-XXS-NH3,10102-43-9,concentration_response,,20,ppm,2,,,,,,
DRAGER-XXS-NH3,1333-74-0,concentration_response,,1000,ppm,4,,,,,,
