Device_Sensor (Junction),,,,
device_id (FK),sensor_id (FK),slot_position,is_default,notes
RAE-MULTIRAE-PRO,RAE-LEL-1,,,
RAE-AREARAE-PRO,RAE-LEL-1,,,
RAE-MULTIRAE-PRO,RAE-LEL-2,,,
RAE-AREARAE-PRO,RAE-LEL-2,,,
RAE-MULTIRAE-PRO,RAE-O2-1,,,
RAE-AREARAE-PRO,RAE-O2-1,,,
RAE-MULTIRAE-PRO,RAE-O2-4REC,,,
RAE-AREARAE-PRO,RAE-O2-4REC,,,
RAE-MULTIRAE-PRO,RAE-NH3-1,,,
RAE-AREARAE-PRO,RAE-NH3-1,,,
RAE-MULTIRAE-PRO,RAE-CO-1,,,
RAE-AREARAE-PRO,RAE-CO-1,,,
RAE-MULTIRAE-PRO,RAE-CO-ER,,,
RAE-AREARAE-PRO,RAE-CO-ER,,,
RAE-MULTIRAE-PRO,RAE-CL2-1,,,
RAE-AREARAE-PRO,RAE-CL2-1,,,
RAE-MULTIRAE-PRO,RAE-COSH-CO,,,
RAE-MULTIRAE-PRO,RAE-COSH-H2S,,,
RAE-MULTIRAE-PRO,RAE-HCN-1,,,
RAE-AREARAE-PRO,RAE-HCN-1,,,
RAE-MULTIRAE-PRO,RAE-H2S-1,,,
RAE-AREARAE-PRO,RAE-H2S-1,,,
RAE-MULTIRAE-PRO,RAE-H2S-ER,,,
RAE-MULTIRAE-PRO,RAE-H2S-ER,,,
RAE-MULTIRAE-PRO,RAE-NO2-1,,,
RAE-AREARAE-PRO,RAE-NO2-1,,,
RAE-MULTIRAE-PRO,RAE-NO-1,,,
RAE-AREARAE-PRO,RAE-NO-1,,,
RAE-MULTIRAE-PRO,RAE-PH3-1,,,
RAE-AREARAE-PRO,RAE-PH3-1,,,
RAE-MULTIRAE-PRO,RAE-PH3-2,,,
RAE-AREARAE-PRO,RAE-PH3-2,,,
RAE-MULTIRAE-PRO,RAE-PH3H-3,,,
RAE-MULTIRAE-PRO,RAE-SO2-1,,,
RAE-AREARAE-PRO,RAE-SO2-1,,,
RAE-MULTIRAE-PRO,RAE-COCL2-1,,,
RAE-AREARAE-PRO,RAE-COCL2-1,,,
RAE-MULTIRAE-PRO,RAE-PID-10.6PPB,,,
RAE-AREARAE-PRO,RAE-PID-10.6PPB,,,
RAE-MULTIRAE-PRO,RAE-PIDmRAE-10.6,,,
RAE-AREARAE-PRO,RAE-PID7R-10.6ER,,,
RAE-AREARAE-PRO,RAE-PID7R-10.6,,,
RAE-AREARAE-PRO,RAE-PID4R-9.8,,,
HONEYWELL-SPM-FLEX,SPM-HYDRIDES-1,,,
HONEYWELL-SPM-FLEX,SPM-MINERAL-1,,,
HONEYWELL-SPM-FLEX,SPM-MINERAL-EU,,,
HONEYWELL-SPM-FLEX,SPM-CL-1,,,
HONEYWELL-SPM-FLEX,SPM-OXI-1,,,
HONEYWELL-SPM-FLEX,SPM-AMMINES-1,,,
HONEYWELL-SPM-FLEX,SPM-PHOSGENE-1,,,
HONEYWELL-SPM-FLEX,SPM-DIISO-1,,,
HONEYWELL-SPM-FLEX,SPM-HYDRAZINES-1,,,
HONEYWELL-SPM-FLEX,SPM-HCN-1,,,
HONEYWELL-SPM-FLEX,SPM-SO2-1,,,
HONEYWELL-SPM-FLEX,SPM-O3-1,,,
HONEYWELL-SPM-FLEX,SPM-H2O2-1,,,
DRAGER-XAM-8000,DRAG-CATEX-125,,,
DRAGER-XAM-8000,DRAG-PID-HC10.6,,,
DRAGER-XAM-8000,DRAG-PID-LC10.6,,,
DRAGER-XAM-8000,DRAG-XXS-CL,,,
DRAGER-XAM-8000,DRAG-XXS-CO,,,
DRAGER-XAM-8000,DRAG-XXS-ECO,,,
DRAGER-XAM-8000,DRAGER-XXS-COHC,,,
DRAGER-XAM-8000,DRAGER-XXS-COLC,,,
DRAGER-XAM-8000,DRAGER-XXS-COH2CP,,,
DRAGER-XAM-8000,DRAGER-XXS-CO2,,,
DRAGER-XAM-8000,DRAGER-XXS-COCl2,,,
DRAGER-XAM-8000,DRAGER-XXS-H2,,,
DRAGER-XAM-8000,DRAGER-XXS-H2HC,,,
DRAGER-XAM-8000,DRAGER-XXS-HCN,,,
DRAGER-XAM-8000,DRAGER-XXS-H2S,,,
DRAGER-XAM-8000,DRAGER-XXS-EH2S,,,
DRAGER-XAM-8000,DRAGER-XXS-H2SHC,,,
DRAGER-XAM-8000,DRAGER-XXS-H2SLC,,,
DRAGER-XAM-8000,DRAGER-XXS-H2SCO-CO,,,
DRAGER-XAM-8000,DRAGER-XXS-H2SCO-H2S,,,
DRAGER-XAM-8000,DRAGER-XXS-H2SCOLC-H2S,,,
DRAGER-XAM-8000,DRAGER-XXS-H2SCOLC-CO,,,
DRAGER-XAM-8000,DRAGER-XXS-NH3,,,
DRAGER-XAM-8000,DRAGER-XXS-NO,,,
DRAGER-XAM-8000,DRAGER-XXS-NO2,,,
DRAGER-XAM-8000,DRAGER-XXS-NO2LC,,,
DRAGER-XAM-8000,DRAGER-XXS-OV,,,
DRAGER-XAM-8000,DRAGER-XXS-OVA,,,
DRAGER-XAM-8000,DRAGER-XXS-O2,,,
DRAGER-XAM-8000,DRAGER-XXS-EO2,,,
DRAGER-XAM-8000,DRAGER-XXS-O2PR,,,
DRAGER-XAM-8000,DRAGER-XXS-O2COLC-O2,,,
DRAGER-XAM-8000,DRAGER-XXS-O2COLC-CO,,,
DRAGER-XAM-8000,DRAGER-XXS-O2H2SLC-O2,,,
DRAGER-XAM-8000,DRAGER-XXS-O2H2SLC-H2S,,,
DRAGER-XAM-8000,DRAGER-XXS-O2100,,,
DRAGER-XAM-8000,DRAGER-XXS-O3,,,
DRAGER-XAM-8000,DRAGER-XXS-PH3,,,
DRAGER-XAM-8000,DRAGER-XXS-PH3HC,,,
DRAGER-XAM-8000,DRAGER-XXS-SO2,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
