Device_Document (Junction) ALSO SENSORS,,
device_id (FK),document_id (FK),notes
RAE-MULTIRAE-PRO,MultiRAE PRO,
RAE-AREARAE-PRO,AreaRAE Pro and Plus,
RAE-AREARAE-PRO,AreaRAE Safety Suite,
RAE-AREARAE-PRO,Viper Setup-AreaRAE Safety Suite,
TSI-DUSTTRAK-8533,DustTrak 8533,
TSI-DUSTTRAK-8533,DustTraks,
TSI-DUSTTRAK-8534,DustTrak 8534,
TSI-DUSTTRAK-8534,DustTraks,
DRAGER-XAM-8000,Drager XAM 8000,
HONEYWELL-SPM-FLEX,SPM Flex,
HONEYWELL-SPM-FLEX,SPM Flex Xsite,
HONEYWELL-SPM-FLEX,Viper Setup-SPM Flex With Gateway,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
