Sampling Methods,,,,,,,,,,,
method_id (PK),agency,target_matrix,method_number,method_name,media_type,media_in_airkit,sample_duration,hold_time,analytical_technique,notes,url
EPA-TO-4A,EPA,Air,,Determination of Pesticides and Polychlorinated Biphenyls in Ambient Air Using High Volume Polyurethane Foam (PUF) Sampling Followed by Gas Chromatographic/Multi-Detector Detection (GC/MD),"PUF Sorbent Tube
(SKC part # 226-131)
with quartz fiber filter
(SKC part # 225-1808)",,,7 days @ <4 °C; wrap in foil to protect from UV light,,,
EPA-TO-9A,EPA,Air,,"Determination Of Polychlorinated, Polybrominated And Brominated/Chlorinated Dibenzo-p-Dioxins And Dibenzofurans In Ambient Air","PUF Sorbent Tube
(SKC part # 226-131)
with quartz fiber filter
(SKC part # 225-1808)",,,7 days @ <4 °C; wrap in foil to protect from UV light,,,
EPA-TO-10A,EPA,Air,,,"Low Volume PUF Cartridge,
(SKC part # 226-92)",,,7 days @ <4 °C; wrap in foil to protect from UV light,,,
EPA-TO-13A,EPA,Air,,,Sorbent Tube (PUF; SKC part # 226-131) with quartz fiber filter (SKC part # 225-1808),,,7 days @ <4 °C; wrap in foil to protect from UV and fluorescent light,,,
EPA-TO-15,EPA,,,,Summa Canister,,,30 days @ ambient temperatures,,,
EPA-TO-17,EPA,,,,Sorbent Tube (CarboTrap 300),,,up to 30 days @ <4 °C,,,
NIOSH-0500,NIOSH,,,,,,,,,,
NIOSH-1003,NIOSH,,,,"Anasorb CSC Sorbent Tube
(SKC part # 226-01)",,,up to 30 days @ ambient temperatures,,,
NIOSH-1005,NIOSH,,,,,,,,,,
NIOSH-1007,NIOSH,,,,"Anasorb CSC Sorbent Tube
(SKC part # 226-01)",,,10 days @ 10 °C,,,
NIOSH-1016,NIOSH,,,,,,,,,,
NIOSH-1020,NIOSH,,,,"Anasorb CSC Sorbent Tube
(SKC part # 226-01)",,,Undetermined,,,
NIOSH-1022,NIOSH,,,,"Anasorb CSC Sorbent Tube
(SKC part # 226-01)",,,Not Determined,,,
NIOSH-1024,NIOSH,,,,"Solid sorbent tube
(coconut charcoal, 400 and 200 mg in separate tubes)",,,60 days in freezer,,,
NIOSH-1300,NIOSH,,,,,,,,,,
NIOSH-1400,NIOSH,,,,"NIOSH Method
1400",,,"unknown, store in freezer",,,
NIOSH-1459,NIOSH,,,,,,,,,,
NIOSH-1500,NIOSH,,,,"Anasorb CSC Sorbent Tube
(SKC part # 226-01)",,,30 days @ 5 ⁰C,,,
NIOSH-1501,NIOSH,,,,"CSC Sorbent Tube
(SKC part #226-01)",,,30 days @ 5 °C,,Check Table 3 in Method,
