Sensor_CrossSensitivity — Unintended Interference (Junction),,,,,,,,,,,,
sensor_id (FK),chemical_id (FK),response_type,factor,test_concentration,test_conc_unit,response_reading,observed_rdg_unit,filtered_resp_reading,filtered_rdg_unit,direction,source,notes
RAE-O2-1,Carbon Dioxide,concentration_response,,2,%vol,0,%vol,,,,TN-114,Double check
RAE-O2-1,Hydrogen,concentration_response,,1,%vol,-2,%vol,,,,TN-114,Double check
RAE-O2-4REC,Carbon Dioxide,concentration_response,,2,%vol,0,%vol,,,,TN-114,
RAE-O2-4REC,Hydrogen,concentration_response,,1,%vol,-2,%vol,,,,TN-114,
RAE-NH3-1,Alcohols,concentration_response,,1000,ppm,0,ppm,,,,,
RAE-NH3-1,Carbon Monoxide,concentration_response,,100,ppm,0,ppm,,,,,
RAE-NH3-1,Carbon Dioxide,concentration_response,,5000,ppm,0,ppm,,,,,
RAE-NH3-1,Hydrogen,concentration_response,,10000,ppm,0,ppm,,,,,
RAE-NH3-1,Hydrogen Sulfide,concentration_response,,20,ppm,About 2,ppm,,,,,Short exposures of less than few minutes
RAE-NH3-1,Hydrocarbons,concentration_response,,% range,,0,ppm,,,,,
RAE-CO-1,Acetylene,conc_response_filter,,250,ppm,250,ppm,NT,,,,
RAE-CO-1,"Butane
(n-butane)",conc_response_filter,,100,ppm,1,ppm,1,,,,
RAE-CO-1,Chlorine,conc_response_filter,,10,ppm,0-1,ppm,NT,,,,
RAE-CO-1,"Ethanol
(ethyl alcohol)",conc_response_filter,,200,ppm,0,ppm,0,,,,
RAE-CO-1,Ethylene,conc_response_filter,,100,ppm,16,ppm,NT,,,,
RAE-CO-1,Ethylene Oxide,conc_response_filter,,125,ppm,>40,ppm,NT,,,,
RAE-CO-1,Hydrogen,conc_response_filter,,100,ppm,40,ppm,40,,,,
RAE-CO-1,Hydrogen Sulfide,conc_response_filter,,10,ppm,0,ppm,0,,,,
RAE-CO-1,"Hydrochloric Acid 
(Hydrogen Chloride)",conc_response_filter,,10,ppm,0,ppm,0,,,,
RAE-CO-1,Hexane,conc_response_filter,,500,ppm,0,ppm,0,,,,
RAE-CO-1,Isobutylene,conc_response_filter,,100,ppm,9,ppm,4,,,,
RAE-CO-1,Isobutylene,conc_response_filter,,1000,ppm,30,ppm,22,,,,
RAE-CO-1,"Methyl Ethyl Ketone (MEK)
(2-butanone)",conc_response_filter,,100,ppm,0,ppm,0,,,,
RAE-CO-1,Ammonia,conc_response_filter,,100,ppm,0,ppm,0,,,,
RAE-CO-1,Nitrogen,conc_response_filter,,100,%vol,0-4,ppm,NT,,,,
RAE-CO-1,Nitrous Oxide,conc_response_filter,,35,ppm,0,ppm,0,,,,
RAE-CO-1,Nitrogen Dioxide,conc_response_filter,,5,ppm,0,ppm,0,,,,
RAE-CO-1,Propane,conc_response_filter,,100,ppm,0,ppm,0,,,,
RAE-CO-1,Sulfur Dioxide,conc_response_filter,,5,ppm,0,ppm,0,,,,
RAE-CO-1,"*Trichloro-
ethylene
(TCE)",conc_response_filter,,100,ppm,25,ppm,15,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
