Sensors,,,,,,,,,,,,
sensor_id (PK),manufacturer,part_number,plain_name,commonly_owned,technology,detection_range,resolution,response_time,max_overload,expected_life,Reference,notes
RAE-LEL-1,RAE Systems,"014-0101-000, 008-1171-001",Combustible Gases and Vapors (LEL-1),Y,Catalytic bead,0-100%,1% LEL,30 sec,,2 years,Tn-114 pg 4,
RAE-LEL-2,RAE Systems,"014-0114-000, C03-0911-000",Combustible Gases and Vapors (LEL-2),Y,Catalytic bead,0-100%,1% LEL,15 sec,,,Tn-114 pg 5,
RAE-O2-1,RAE Systems,"170-0003-002, 008-1161-000, C03-0942-000",Oxygen (O2),Y,Electrochemical,0-30%,0.1% Vol,15 sec,,,Tn-114 pg 8,
RAE-O2-4REC,RAE Systems,C03-0908-000,4R+ EC Liquid Oxygen (O2),Y,Electrochemical,0-30%,0.2% Vol,15 sec,,,Tn-114 pg 9,
RAE-NH3-1,RAE Systems,"170-0025-000, 008-1125-000, C03-0950-000",Ammonia (NH3),Y,Electrochemical,0 to 100 ppm,1 ppm,NA,,,Tn-114 pg 10,
RAE-CO-1,RAE Systems,"032-0100-000, 008-1112-000, C03-0906-000",Carbon Monoxide (CO),Y,Electrochemical,0 to 500 ppm,1 ppm,NA,1500 ppm,,,
RAE-CO-ER,RAE Systems,"032-0100-202, 008-1126-000, C03-0903-000",Carbon Monoxide (CO) - Extended Range,Y,Electrochemical,0 to 2000 ppm,10 ppm,NA,,,,
RAE-CL2-1,RAE Systems,"032-0121-000, 008-1116-001, C03-0978-000",Chlorine (CL2),Y,Electrochemical,0 to 50 ppm,0.1 ppm,NA,,,,
RAE-COSH-CO,RAE Systems,"170-0075-000, C03-0913-000",CO+H2S Combination Sensor,Y,Electrochemical,0 to 500 ppm,1 ppm,NA,1500 ppm,,,
RAE-COSH-H2S,RAE Systems,"170-0075-000, C03-0913-000",CO+H2S Combination Sensor,Y,Electrochemical,0 to 200 ppm,0.5 ppm,NA,500 ppm,,,
RAE-HCN-1,RAE Systems,"170-0012-000, 008-1117-000, C03-0949-000",Hydrogen Cyanide (HCN),Y,Electrochemical,0 to 50 ppm,1 ppm,NA,100 ppm,,,
RAE-H2S-1,RAE Systems,"032-0102-000, 008-1111-000, C03-0907-000, C03-0907-001",Hydrogen Sulfide (H2S),Y,Electrochemical,0 to 100 ppm,0.1 ppm,NA,500 ppm,,,
RAE-H2S-ER,RAE Systems,"032-0102-100, 008-1111-200, C03-0904-000",Hydrogen Sulfide (H2S) Extended Range,Y,Electrochemical,0 to 1000 ppm,1 ppm,NA,NA,,,
RAE-NO2-1,RAE Systems,"032-0112-000, 008-1115-000, C03-0975-000",Nitrogen Dioxide (NO2),Y,Electrochemical,0 to 20 ppm,0.1 ppm,NA,150 ppm,,,
RAE-NO-1,RAE Systems,"032-0111-000, 008-1114-000, C03-0974-000",Nitric Oxide (NO),Y,Electrochemical,0 to 250 ppm,0.5 ppm,NA,1000 ppm,,,
RAE-PH3-1,RAE Systems,"032-0108-000, 008-1119-000",Phosphine (PH3) - 1,Y,Electrochemical,0 to 5 ppm,0.1 ppm,NA,20 ppm,,,
