Contaminant,Analytical Method,Matrix,Sampling Media,Holding Times,Flow Rate,Sample Volume,
Acetic Acid,NIOSH Method 1603,Air,"Anasorb CSC Sorbent Tube,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                SKC part # 226-01",at least 7 days @ 25 °C,0.01-1 L/min,20-300 L @ 10 ppm,
Ammonia (Anhydrous),NIOSH Method 6015,Air,"Sulfuric Acid-Treated Silica Gel Sorbent Tube, SKC part # 226-10-06",not determined,0.1-0.2 L/min,0.1-96 L @ 50 ppm,
Ammonium Sulfamate,OSHA ID-188,Air ,"Sorbent Tube, Anasorb 747 (sulfuric acid, 226-29",at least 29 days @ 25 °C,0.1 L/min,24 L,
"Arsenic (organic), as particulates",NIOSH Method 5022,Air,"PTFE Filter (1.0-µm pore size), 
SKC part # 225-17-01",Stable,1-3 L/min,50-1000 L @ 0.01 mg/m3,
"Arsenic and compounds (except AsH3 and As2O3), as particulates",NIOSH Method 7900,Air,"Cassette (SKC part # 225-3-01) containing one MCE filter (37 mm, 0.8-μm pore size)",Stable if refrigerated,1-3 L/min,30-1000 L @ 0.002 mg/m3,
Arsine,NIOSH Method 6001,Air,"Anasorb CSC Sorbent Tube,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    SKC part # 226-01",at least 6 days @ 25 °C,0.01-0.2 L/min,0.1-10 L @ 0.05 ppm,
Asbestos,EPA Method 600/R-93/116,Solid,8-oz. glass jar,NA,NA,NA,
"Asbestos
(by phase contrast microscopy)",NIOSH Method 7400,Air,25-mm PCM cassette with 0.8-µm MCE filter,Stable,0.5-16 L/min,Use equation in Step 4 of Sampling in Method to collect a fiber density of 100 to 1300 fibers/mm2.,
"Asbestos
(by transmission electron microscopy)",NIOSH Method 7402,Air,25-mm PCM cassette with 0.8-µm MCE filter,Stable,0.5-16 L/min,Use equation in Step 4 of Sampling in Method to collect a fiber density of 100 to 1300 fibers/mm2.,
"1,3 Butadiene",NIOSH Method 1024,Air ,"Solid sorbent tube (coconut charcoal,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     400 and 200 mg in separate tubes)",60 days in freezer,0.01 to 0.5 L/min,5-L @ 100 ppm - 25L ,
,OSHA Method 56,Air ,"CSC tube (100/50 mg) coated with 10%                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  t-butylcatechol, SKC part # 226-73 ",18 days @ refrigerated temperatures  ,0.05 L/min,3 L,
"Cadmium, as particulates",NIOSH Method 7048,Air,"Cassette (SKC part # 225-3-01) containing one MCE filter (37 mm, 0.8-μm pore size)",stable,1-3 L/min,25-1500 L @ 0.1 mg/m3,
Carbon Monoxide,OSHA Method ID-209,Air,Direct-reading instrument with data logger,NA,NA,NA,
Chlordane,NIOSH Method 5510,Air,"Filter and Solid Sorbent Tube:
(0.8-µm cellulose ester membrane; Chromosorb 102, 100/50 mg)",> 1 week @ 25 °C,0.5-1 L/min,10-200 L@0.5 mg/m³,
Chlordane (technical grade) ,OSHA Method 67,Air ,OSHA  Versatile  Sampler  tubes  containing  a  glass  fiber  filter  and two  sections  of  XAD-2  adsorbent  (OVS-2),  15 days @ 22 ⁰C,1.0 L/min,480 L ,
